"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 12:08:03 GMT 2025","Tue Oct 14 12:08:03 GMT 2025","2","PlantServiceGetTestSuite","TestGetPlant","","","","Not authorized for plant retrieval",""
"passed","Tue Oct 14 12:08:04 GMT 2025","Tue Oct 14 12:08:04 GMT 2025","3","PostServiceUpdateTextTestSuite","TestUpdatePost","","","","Not authorized user",""
"passed","Tue Oct 14 12:08:54 GMT 2025","Tue Oct 14 12:10:43 GMT 2025","109037","","PlantTestSuite","","","","TestE2EPlant","Test plant creation and retrieval functionality"
"passed","Tue Oct 14 12:08:35 GMT 2025","Tue Oct 14 12:08:35 GMT 2025","74","PlantRepositoryTestSuite","TestCreatePlant","","","","Coniferous plant",""
"passed","Tue Oct 14 12:08:00 GMT 2025","Tue Oct 14 12:08:00 GMT 2025","0","","PostTestSuite","","","","TestUpdateTags","Successful update of post tags"
"passed","Tue Oct 14 12:08:00 GMT 2025","Tue Oct 14 12:08:00 GMT 2025","0","PostFiltersTestSuite","TestPostTagFilter","","","","Nonexistent tag",""
"passed","Tue Oct 14 12:08:04 GMT 2025","Tue Oct 14 12:08:04 GMT 2025","0","","StringUtilsTestSuite","","","","TestReplaceFunc","Test ReplaceFunc functionality with various patterns and replacers"
"passed","Tue Oct 14 12:08:00 GMT 2025","Tue Oct 14 12:08:00 GMT 2025","0","","DeciduousSpecificationTestSuite","","","","TestPlantWithDeciduousSpecification","Integration test: creating a plant with deciduous specification"
"passed","Tue Oct 14 12:08:00 GMT 2025","Tue Oct 14 12:08:00 GMT 2025","0","PostTestSuite","TestAddTag","","","","Success",""
"passed","Tue Oct 14 12:07:59 GMT 2025","Tue Oct 14 12:07:59 GMT 2025","0","","MemberTestSuite","","","","TestCreateMemberSuccess","Successful creation of member with valid parameters"
"passed","Tue Oct 14 12:08:00 GMT 2025","Tue Oct 14 12:08:00 GMT 2025","0","PostTestSuite","TestCreatePostValidationErrors","","","","Empty title",""
"passed","Tue Oct 14 12:08:04 GMT 2025","Tue Oct 14 12:08:04 GMT 2025","1","PostServiceDeleteTestSuite","TestDeletePost","","","","Not authorized user",""
"passed","Tue Oct 14 12:08:04 GMT 2025","Tue Oct 14 12:08:04 GMT 2025","402","","BcryptHasherTestSuite","","","","TestBcryptHasherCompare","Test password comparison functionality"
"passed","Tue Oct 14 12:08:04 GMT 2025","Tue Oct 14 12:08:04 GMT 2025","2","SearchServiceGetPlantTestSuite","TestGetPlantByID","","","","Main photo not found",""
"passed","Tue Oct 14 12:08:29 GMT 2025","Tue Oct 14 12:08:29 GMT 2025","100","AlbumRepositoryTestSuite","TestUpdateAlbum","","","","Successful album update",""
"passed","Tue Oct 14 12:08:29 GMT 2025","Tue Oct 14 12:08:29 GMT 2025","37","AlbumRepositoryTestSuite","TestCreateAlbum","","","","No owner trying to create album",""
"passed","Tue Oct 14 12:08:00 GMT 2025","Tue Oct 14 12:08:00 GMT 2025","0","","PlantPhotosTestSuite","","","","TestAddDuplicate","Test duplicate photo addition error"
"passed","Tue Oct 14 12:08:00 GMT 2025","Tue Oct 14 12:08:00 GMT 2025","0","PostFiltersTestSuite","TestPostTagFilter","","","","Tech tag",""
"passed","Tue Oct 14 12:08:32 GMT 2025","Tue Oct 14 12:08:32 GMT 2025","1","","AuthRepositoryTestSuite","","","","TestGetByName","Test member retrieval by name functionality"
"passed","Tue Oct 14 12:08:04 GMT 2025","Tue Oct 14 12:08:04 GMT 2025","0","BcryptHasherTestSuite","TestBcryptHasherCompare","","","","Invalid hash comparison",""
"passed","Tue Oct 14 12:08:00 GMT 2025","Tue Oct 14 12:08:00 GMT 2025","0","","PlantPhotosTestSuite","","","","TestNewPlantPhotos","Test creation of new plant photos collection"
"passed","Tue Oct 14 12:08:03 GMT 2025","Tue Oct 14 12:08:03 GMT 2025","1","AlbumServiceTestSuite","TestCreateAlbum","","","","No member rights for album creation",""
