"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 13 08:05:54 GMT 2025","Sat Sep 13 08:05:54 GMT 2025","0","AuthValidationTestSuite","TestValidateEmail","","","","Invalid characters in domain",""
"passed","Sat Sep 13 08:05:54 GMT 2025","Sat Sep 13 08:05:54 GMT 2025","1","AuthServiceTestSuite","TestAuthenticate","","","","Session expired during authentication",""
"passed","Sat Sep 13 08:05:54 GMT 2025","Sat Sep 13 08:05:54 GMT 2025","0","","PostPhotoTestSuite","","","","TestRemoveSuccess","Successful removal of photo from collection"
"passed","Sat Sep 13 08:05:54 GMT 2025","Sat Sep 13 08:05:54 GMT 2025","1","","PlantPhotosTestSuite","","","","TestLen","Test collection length functionality"
"passed","Sat Sep 13 08:05:54 GMT 2025","Sat Sep 13 08:05:54 GMT 2025","0","","PlantPhotoTestSuite","","","","TestComparePhotos","Test photo comparison functionality"
"passed","Sat Sep 13 08:05:55 GMT 2025","Sat Sep 13 08:05:55 GMT 2025","0","SearchServiceTestSuite","TestSearchPlants","","","","Empty search results",""
"passed","Sat Sep 13 08:07:15 GMT 2025","Sat Sep 13 08:07:15 GMT 2025","0","PostRepositoryTestSuite","TestGetPost","","","","Non-existent post",""
"passed","Sat Sep 13 08:05:55 GMT 2025","Sat Sep 13 08:05:55 GMT 2025","67","BcryptHasherTestSuite","TestBcryptHasherCompare","","","","Successful password comparison",""
"passed","Sat Sep 13 08:05:54 GMT 2025","Sat Sep 13 08:05:54 GMT 2025","0","PostFiltersTestSuite","TestPostTitleContainsFilter","","","","Exact match",""
"passed","Sat Sep 13 08:05:55 GMT 2025","Sat Sep 13 08:05:55 GMT 2025","0","SearchServiceTestSuite","TestSearchPlants","","","","Repository error during search",""
"passed","Sat Sep 13 08:05:54 GMT 2025","Sat Sep 13 08:05:54 GMT 2025","0","","PostPhotoTestSuite","","","","TestList","Test retrieval of photos list"
"passed","Sat Sep 13 08:05:55 GMT 2025","Sat Sep 13 08:05:55 GMT 2025","0","","PostServiceDeleteTestSuite","","","","TestDeletePost","Test post deletion functionality"
