"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PlantPhotosTestSuite","","","","TestAddSuccess","Test successful addition of photos to collection"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","AlbumServiceTestSuite","","","","TestAddPlantToAlbum","Test adding plants to album functionality"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","2","PlantServiceCreateTestSuite","TestCreatePlant","","","","Invalid plant data during creation",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","1","AlbumServiceTestSuite","TestAddPlantToAlbum","","","","Plant already exists in album",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PostFiltersTestSuite","","","","TestPostAuthorFilter","Test post author filtering"
"passed","Thu Sep 11 22:09:43 GMT 2025","Thu Sep 11 22:09:44 GMT 2025","264","","AlbumRepositoryTestSuite","","","","TestGetAlbum","Test album retrieval functionality"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","AuthValidationTestSuite","TestValidateEmail","","","","Email with numeric domain",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","StringUtilsTestSuite","TestReplaceFunc","","","","Empty input string",""
"passed","Thu Sep 11 22:10:31 GMT 2025","Thu Sep 11 22:10:31 GMT 2025","143","SearchRepositoryTestSuite","TestSearchPlants","","","","Search plants by height",""
"passed","Thu Sep 11 22:10:02 GMT 2025","Thu Sep 11 22:10:02 GMT 2025","75","PlantRepositoryTestSuite","TestCreatePlant","","","","Coniferous plant",""
"passed","Thu Sep 11 22:10:02 GMT 2025","Thu Sep 11 22:10:02 GMT 2025","72","PlantRepositoryTestSuite","TestCreatePlant","","","","Deciduous plant",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","0","BcryptHasherTestSuite","TestBcryptHasherCompare","","","","Invalid hash comparison",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PlantTestSuite","","","","TestNewPlant_Success","Successful plant creation via NewPlant with auto-generated ID"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","1","","PostTestSuite","","","","TestCreatePostValidationErrors","Test validation errors during post creation"
"passed","Thu Sep 11 22:08:47 GMT 2025","Thu Sep 11 22:08:47 GMT 2025","0","","MapSessionStorageTestSuite","","","","TestGetExpiredSession","Test retrieving expired session from storage"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","0","","PlantServiceGetTestSuite","","","","TestGetPlant","Test plant retrieval functionality"
"passed","Thu Sep 11 22:10:02 GMT 2025","Thu Sep 11 22:10:02 GMT 2025","99","PlantRepositoryTestSuite","TestCreatePlant","","","","Plant with no photos",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","","StringUtilsTestSuite","","","","TestReplaceFunc","Test ReplaceFunc functionality with various patterns and replacers"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","StringUtilsTestSuite","TestReplaceFunc","","","","Pattern with multiple %s placeholders",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","ConiferousSpecificationTestSuite","","","","TestPlantWithConiferousSpecification","Integration test: creating a plant with coniferous specification"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PlantServiceGetTestSuite","TestGetPlant","","","","Not authorized for plant retrieval",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PlantPhotosTestSuite","","","","TestNewPlantPhotos","Test creation of new plant photos collection"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","1","","LatexLikeParserTestSuite","","","","TestSinglePlantByUUID","Test parsing single plant reference by UUID"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PlantServiceGetTestSuite","TestGetPlant","","","","Successful plant retrieval",""
"passed","Thu Sep 11 22:08:47 GMT 2025","Thu Sep 11 22:08:47 GMT 2025","0","","MapSessionStorageTestSuite","","","","TestNewMapSessionStorage","Test creation of new MapSessionStorage instance"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","PostTestSuite","TestRemoveTag","","","","Not found",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PostPhotoTestSuite","","","","TestNewPostPhotos","Test creation of new post photos collection"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","0","","SearchServiceGetPlantTestSuite","","","","TestGetPlantByID","Test plant retrieval by ID functionality"
"passed","Thu Sep 11 22:08:47 GMT 2025","Thu Sep 11 22:08:47 GMT 2025","0","","MapSessionStorageTestSuite","","","","TestConcurrentAccess","Test concurrent access to session storage"
"passed","Thu Sep 11 22:10:16 GMT 2025","Thu Sep 11 22:10:16 GMT 2025","27","PostRepositoryTestSuite","TestGetPost","","","","Successful post retrieval",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PlantServiceGetTestSuite","TestGetPlant","","","","Plant with empty photos",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","SearchServiceTestGetPostSuite","TestGetPost","","","","Successful post retrieval",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","DeciduousSpecificationTestSuite","","","","TestDeciduosImplementsPlantSpecification","Verify that DeciduousSpecification implements PlantSpecification interface"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","0","SearchServiceTestGetPostSuite","TestGetPost","","","","Nil post ID",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","MemberTestSuite","","","","TestAuthError","Authentication error handling"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","1","AlbumServiceTestSuite","TestRemovePlantFromAlbum","","","","Successful plant removal from album",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","MemberTestSuite","TestCreateMemberValidationErrors","","","","Empty email",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PostServiceDeleteTestSuite","TestDeletePost","","","","Not authorized user",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PostPhotoTestSuite","","","","TestAddMaxPhotos","Test maximum photos limit enforcement"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PostTestSuite","","","","TestUpdateTitle","Successful update of post title"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","1","","AlbumServiceTestSuite","","","","TestCreateAlbum","Test album creation functionality"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PostFiltersTestSuite","","","","TestPostTitleFilter","Test exact post title filtering"
"passed","Thu Sep 11 22:10:32 GMT 2025","Thu Sep 11 22:10:33 GMT 2025","241","","SearchRepositoryTestSuite","","","","TestGetPostByID","Test post retrieval by ID"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PostServiceCreateTestSuite","TestCreatePost","","","","Successful post creation",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PlantServiceTestSuite","TestDeletePlant","","","","Successful plant deletion",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","1","","PlantPhotoTestSuite","","","","TestCreatePlantPhotoValidationErrors","Test validation errors during plant photo creation"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","PostFiltersTestSuite","TestPostTitleContainsFilter","","","","Exact match",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","PostPhotoTestSuite","TestValidate","","","","Empty file ID",""
"passed","Thu Sep 11 22:08:47 GMT 2025","Thu Sep 11 22:08:47 GMT 2025","0","","MapSessionStorageTestSuite","","","","TestClearExpiredSessions","Test clearing expired sessions from storage"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PostServiceTestSuite","TestGetPost","","","","Nil post ID",""
"passed","Thu Sep 11 22:10:17 GMT 2025","Thu Sep 11 22:10:18 GMT 2025","242","","PostRepositoryTestSuite","","","","TestDeletePost","Test post deletion functionality"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PostServiceCreateTestSuite","TestCreatePost","","","","Post creation error",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","AuthorTestSuite","TestCreateAuthorValidationErrors","","","","Invalid member",""
"passed","Thu Sep 11 22:10:17 GMT 2025","Thu Sep 11 22:10:17 GMT 2025","94","PostRepositoryTestSuite","TestCreatePost","","","","Post with no photos",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PostTestSuite","","","","TestUpdateContent","Successful update of post content"
"passed","Thu Sep 11 22:09:48 GMT 2025","Thu Sep 11 22:09:48 GMT 2025","159","","AuthRepositoryTestSuite","","","","TestUpdateMember","Test member update functionality"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PostServiceTestSuite","TestGetPost","","","","Photo file not found",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","1","","DeciduousSpecificationTestSuite","","","","TestNewDeciduousSpecificationValidationErrors","Test validation errors during deciduous specification creation"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","2","PlantServiceGetTestSuite","TestGetPlant","","","","Main photo not found during retrieval",""
"passed","Thu Sep 11 22:09:44 GMT 2025","Thu Sep 11 22:09:44 GMT 2025","38","AlbumRepositoryTestSuite","TestGetAlbum","","","","Non-existent album retrieval",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","AuthServiceTestSuite","TestAuthenticate","","","","User not found during authentication",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PlantPhotosTestSuite","","","","TestIterateUpdateSuccess","Test successful update iteration over photos collection"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","4","","AuthServiceTestSuite","","","","TestLogout","Test user logout functionality"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","LatexLikeParserTestSuite","","","","TestSuffix","Test parser suffix method"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","2","PostServiceTestSuite","TestGetPost","","","","User without author rights",""
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","3","PostServiceUpdateTextTestSuite","TestUpdatePost","","","","User without author rights",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","PlantPhotoTestSuite","TestCreatePlantPhotoValidationErrors","","","","Empty file ID",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","2","","AlbumTestSuite","","","","TestCreateAlbumSuccess","Successful creation of album with valid parameters"
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","2","AlbumServiceTestSuite","TestCreateAlbum","","","","No member rights for album creation",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","","PlantFiltersTestSuite","","","","TestPlantNameFilter","Test plant name filtering"
"passed","Thu Sep 11 22:09:43 GMT 2025","Thu Sep 11 22:09:43 GMT 2025","238","","AlbumRepositoryTestSuite","","","","TestDeleteAlbum","Test album deletion functionality"
"passed","Thu Sep 11 22:09:48 GMT 2025","Thu Sep 11 22:09:48 GMT 2025","162","","AuthRepositoryTestSuite","","","","TestRevokeAuthorRights","Test author rights revocation functionality"
"passed","Thu Sep 11 22:08:49 GMT 2025","Thu Sep 11 22:08:49 GMT 2025","1","PlantServiceCreateTestSuite","TestCreatePlant","","","","No author rights for plant creation",""
"passed","Thu Sep 11 22:08:48 GMT 2025","Thu Sep 11 22:08:48 GMT 2025","0","PostTestSuite","TestCreatePostValidationErrors","","","","Future update time",""
