"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 16 20:10:49 GMT 2025","Tue Sep 16 20:10:49 GMT 2025","1","","DeciduousSpecificationTestSuite","","","","TestGettersReturnCorrectValues","Test that DeciduousSpecification getters return correct values"
"passed","Tue Sep 16 20:10:49 GMT 2025","Tue Sep 16 20:10:49 GMT 2025","0","","MemberTestSuite","","","","TestCreateMemberSuccess","Successful creation of member with valid parameters"
"passed","Tue Sep 16 20:11:13 GMT 2025","Tue Sep 16 20:11:13 GMT 2025","1","PostServiceDeleteTestSuite","TestDeletePost","","","","Not authorized user",""
"passed","Tue Sep 16 20:11:12 GMT 2025","Tue Sep 16 20:11:12 GMT 2025","1","AuthServiceTestSuite","TestAuthenticate","","","","Successful authentication",""
"passed","Tue Sep 16 20:10:49 GMT 2025","Tue Sep 16 20:10:49 GMT 2025","0","","PostFiltersTestSuite","","","","TestPostTitleContainsFilter","Test partial post title matching"
"passed","Tue Sep 16 20:11:12 GMT 2025","Tue Sep 16 20:11:12 GMT 2025","5","AlbumServiceTestSuite","TestUpdateAlbumName","","","","Not owner trying to update album name",""
"passed","Tue Sep 16 20:11:13 GMT 2025","Tue Sep 16 20:11:13 GMT 2025","1","SearchServiceGetPlantTestSuite","TestGetPlantByID","","","","Main photo not found",""
"passed","Tue Sep 16 20:10:49 GMT 2025","Tue Sep 16 20:10:49 GMT 2025","0","PlantFiltersTestSuite","TestPlantHeightFilter","","","","Both plants match range",""
"passed","Tue Sep 16 20:10:49 GMT 2025","Tue Sep 16 20:10:49 GMT 2025","0","","PlantPhotosTestSuite","","","","TestAddSuccess","Test successful addition of photos to collection"
"passed","Tue Sep 16 20:11:13 GMT 2025","Tue Sep 16 20:11:13 GMT 2025","2","SearchServiceGetPlantTestSuite","TestGetPlantByID","","","","Plant not found",""
