"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","1","","AlbumTestSuite","","","","TestUpdateName","Successful update of album name"
"passed","Sat Sep 13 07:35:10 GMT 2025","Sat Sep 13 07:35:10 GMT 2025","145","SearchRepositoryTestSuite","TestSearchPosts","","","","Search posts by tag",""
"passed","Sat Sep 13 07:34:23 GMT 2025","Sat Sep 13 07:34:23 GMT 2025","201","","AlbumRepositoryTestSuite","","","","TestGetAlbumsByOwner","Test retrieving albums by owner functionality"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","PlantTestSuite","","","","TestUpdateSpecValidationError","Error when updating plant specification with invalid data"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","AuthValidationTestSuite","TestValidateEmail","","","","Email with numeric domain",""
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","3","PostServiceTestSuite","TestGetPost","","","","Successful post retrieval",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","PostTestSuite","TestCreatePostValidationErrors","","","","Update before creation",""
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","0","","PlantServiceTestSuite","","","","TestUploadPlantPhoto","Test plant photo upload functionality"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","ConiferousSpecificationTestSuite","","","","TestValidateSuccess","Successful validation of ConiferousSpecification"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","1","","LatexLikeParserTestSuite","","","","TestInvalidPlantUUID","Test parsing with invalid plant UUID"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","PlantFiltersTestSuite","TestPlantDiameterFilter","","","","Both plants match range",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","1","","PlantTestSuite","","","","TestCreatePlant_ValidationErrors","Test validation errors during plant creation"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","PostTestSuite","TestCreatePostValidationErrors","","","","Empty tag",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","PostPhotoTestSuite","","","","TestNewPostPhoto","Successful creation of post photo with auto-generated ID"
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","2","","AuthServiceTestSuite","","","","TestLogin","Test user login functionality"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","PlantPhotoTestSuite","","","","TestComparePhotos","Test photo comparison functionality"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","LatexLikeParserTestSuite","","","","TestSuffix","Test parser suffix method"
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","67","BcryptHasherTestSuite","TestBcryptHasherCompare","","","","Successful password comparison",""
"passed","Sat Sep 13 07:34:56 GMT 2025","Sat Sep 13 07:34:56 GMT 2025","72","PostRepositoryTestSuite","TestCreatePost","","","","Post with no photos",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","PlantPhotosTestSuite","","","","TestRemoveNotFound","Test removal of non-existent photo error"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","AlbumTestSuite","","","","TestCreateAlbumSuccess","Successful creation of album with valid parameters"
"passed","Sat Sep 13 07:33:32 GMT 2025","Sat Sep 13 07:33:32 GMT 2025","0","","MapSessionStorageTestSuite","","","","TestGetExpiredSession","Test retrieving expired session from storage"
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","4","PostServiceCreateTestSuite","TestCreatePost","","","","Successful post creation",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","PlantFiltersTestSuite","TestPlantDiameterFilter","","","","No plants match range",""
"passed","Sat Sep 13 07:34:42 GMT 2025","Sat Sep 13 07:34:42 GMT 2025","78","PlantRepositoryTestSuite","TestDeletePlant","","","","Successful plant deletion",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","1","AlbumServiceTestSuite","TestRemovePlantFromAlbum","","","","Plant not found in album during removal",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","ConiferousSpecificationTestSuite","","","","TestNewConiferousSpecificationValidationErrors","Test validation errors during coniferous specification creation"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","2","AlbumServiceTestSuite","TestUpdateAlbumName","","","","Not owner trying to update album name",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","AuthorTestSuite","","","","TestRevokeAuthorRights","Test revocation of author rights"
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","2","PostServiceDeleteTestSuite","TestDeletePost","","","","Repository error during deletion",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","PostPhotoTestSuite","","","","TestRemoveSuccess","Successful removal of photo from collection"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","DeciduousSpecificationTestSuite","TestNewDeciduousSpecificationValidationErrors","","","","Invalid diameter",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","MemberTestSuite","","","","TestPermissionChecks","Test member permission checks"
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","10","PostServiceCreateTestSuite","TestCreatePost","","","","Invalid file content type",""
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","3","SearchServiceGetPlantTestSuite","TestGetPlantByID","","","","Plant not found",""
"passed","Sat Sep 13 07:33:35 GMT 2025","Sat Sep 13 07:33:35 GMT 2025","1","","BcryptHasherTestSuite","","","","TestNewBcryptHasher","Test creation of BcryptHasher with different cost parameters"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","AlbumTestSuite","TestCreateAlbumValidationErrors","","","","Empty ownerID",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","AuthorTestSuite","TestCreateAuthorValidationErrors","","","","Zero give time",""
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","PlantFiltersTestSuite","TestPlantHeightFilter","","","","No plants match range",""
"passed","Sat Sep 13 07:34:22 GMT 2025","Sat Sep 13 07:34:23 GMT 2025","63","AlbumRepositoryTestSuite","TestDeleteAlbum","","","","Non-existent album deletion",""
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","1","","AuthServiceTestSuite","","","","TestLogout","Test user logout functionality"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","2","AlbumServiceTestSuite","TestGetAlbum","","","","Not owner trying to access album",""
"passed","Sat Sep 13 07:33:34 GMT 2025","Sat Sep 13 07:33:34 GMT 2025","1","","PlantServiceGetTestSuite","","","","TestGetPlant","Test plant retrieval functionality"
"passed","Sat Sep 13 07:33:33 GMT 2025","Sat Sep 13 07:33:33 GMT 2025","0","","LatexLikeParserTestSuite","","","","TestMultiplePlantsByUUID","Test parsing multiple plant references by UUID"
